#  Timestep    No_Moles    No_Specs          H2       C10O2           O          O2
      13100          12           4           5           1           4           2
#  Timestep    No_Moles    No_Specs          H2       C10O2           O          O2
      13200          12           4           5           1           4           2
#  Timestep    No_Moles    No_Specs          H2       C10O2           O          O2
      13300          12           4           5           1           4           2
#  Timestep    No_Moles    No_Specs          H2       C10O2           O          O2
      13400          12           4           5           1           4           2
#  Timestep    No_Moles    No_Specs          H2       C10O2           O          O2
      13500          12           4           5           1           4           2
#  Timestep    No_Moles    No_Specs          H2       C10O2           O          O2
      13600          12           4           5           1           4           2
#  Timestep    No_Moles    No_Specs          H2       C10O2           O          O2
      13700          12           4           5           1           4           2
#  Timestep    No_Moles    No_Specs          H2       C10O2           O          O2
      13800          12           4           5           1           4           2
#  Timestep    No_Moles    No_Specs          H2       C10O2           O          O2
      13900          12           4           5           1           4           2
#  Timestep    No_Moles    No_Specs          H2       C10O2           O          O2
      14000          12           4           5           1           4           2
#  Timestep    No_Moles    No_Specs          H2       C10O2           O          O2
      14100          12           4           5           1           4           2
#  Timestep    No_Moles    No_Specs          H2       C10O2           O          O2
      14200          12           4           5           1           4           2
#  Timestep    No_Moles    No_Specs          H2       C10O2           O          O2
      14300          12           4           5           1           4           2
#  Timestep    No_Moles    No_Specs          H2       C10O2           O          O2
      14400          12           4           5           1           4           2
#  Timestep    No_Moles    No_Specs          H2       C10O2           O          O2
      14500          12           4           5           1           4           2
#  Timestep    No_Moles    No_Specs          H2       C10O2           O          O2
      14600          12           4           5           1           4           2
#  Timestep    No_Moles    No_Specs          H2       C10O2           O          O2
      14700          12           4           5           1           4           2
#  Timestep    No_Moles    No_Specs          H2       C10O2           O          O2
      14800          12           4           5           1           4           2
#  Timestep    No_Moles    No_Specs          H2       C10O2           O          O2
      14900          12           4           5           1           4           2
#  Timestep    No_Moles    No_Specs          H2       C10O2           O          O2
      15000          12           4           5           1           4           2
#  Timestep    No_Moles    No_Specs          H2       C10O2           O          O2
      15100          12           4           5           1           4           2
#  Timestep    No_Moles    No_Specs          H2       C10O2           O          O2
      15200          12           4           5           1           4           2
#  Timestep    No_Moles    No_Specs          H2       C10O2           O          O2
      15300          12           4           5           1           4           2
#  Timestep    No_Moles    No_Specs          H2       C10O2           O          O2
      15400          12           4           5           1           4           2
#  Timestep    No_Moles    No_Specs          H2       C10O2           O          O2
      15500          12           4           5           1           4           2
#  Timestep    No_Moles    No_Specs          H2       C10O2           O          O2
      15600          12           4           5           1           4           2
#  Timestep    No_Moles    No_Specs          H2       C10O2           O          O2
      15700          12           4           5           1           4           2
#  Timestep    No_Moles    No_Specs          H2       C10O2           O          O2
      15800          12           4           5           1           4           2
#  Timestep    No_Moles    No_Specs          H2         H2O       C10O2           O          O2
      15900          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2         H2O       C10O2           O          O2
      16000          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2         H2O       C10O2           O          O2
      16100          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2         H2O       C10O2           O          O2
      16200          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2         H2O       C10O2           O          O2
      16300          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2         H2O       C10O2           O          O2
      16400          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2         H2O       C10O2           O          O2
      16500          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2         H2O       C10O2           O          O2
      16600          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2         H2O       C10O2           O          O2
      16700          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2         H2O       C10O2           O          O2
      16800          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2         H2O       C10O2           O          O2
      16900          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2         H2O       C10O2           O          O2
      17000          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2         H2O       C10O2           O          O2
      17100          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2         H2O       C10O2           O          O2
      17200          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2         H2O       C10O2           O          O2
      17300          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2         H2O       C10O2           O          O2
      17400          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2         H2O       C10O2           O          O2
      17500          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2         H2O       C10O2           O          O2
      17600          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2         H2O       C10O2           O          O2
      17700          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2         H2O       C10O2           O          O2
      17800          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2         H2O       C10O2           O          O2
      17900          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2         H2O       C10O2           O          O2
      18000          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2         H2O       C10O2           O          O2
      18100          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2         H2O       C10O2           O          O2
      18200          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2         H2O       C10O2           O          O2
      18300          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2         H2O       C10O2           O          O2
      18400          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2         H2O       C10O2           O          O2
      18500          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2         H2O       C10O2           O          O2
      18600          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2         H2O       C10O2           O          O2
      18700          11           5           4           1           1           3           2
#  Timestep    No_Moles    No_Specs          H2          HO       C10O2           O          O2
      18800          11           5           4           2           1           2           2
#  Timestep    No_Moles    No_Specs          H2        H2O2       C10O2           O          O2
      18900          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2        H2O2       C10O2           O          O2
      19000          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2          HO       C10O2           O          O2
      19100          11           5           4           2           1           2           2
#  Timestep    No_Moles    No_Specs          H2          HO       C10O2           O          O2
      19200          11           5           4           2           1           2           2
#  Timestep    No_Moles    No_Specs          H2          HO       C10O2           O          O2
      19300          11           5           4           2           1           2           2
#  Timestep    No_Moles    No_Specs          H2          HO       C10O2           O          O2
      19400          11           5           4           2           1           2           2
#  Timestep    No_Moles    No_Specs          H2          HO       C10O2           O          O2
      19500          11           5           4           2           1           2           2
#  Timestep    No_Moles    No_Specs          H2          HO       C10O2           O          O2
      19600          11           5           4           2           1           2           2
#  Timestep    No_Moles    No_Specs          H2          HO       C10O2           O          O2
      19700          11           5           4           2           1           2           2
#  Timestep    No_Moles    No_Specs          H2      C10HO3          HO           O          O2
      19800          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2      C10HO3          HO           O          O2
      19900          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2      C10HO3          HO           O          O2
      20000          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2      C10HO3          HO           O          O2
      20100          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2      C10HO3          HO           O          O2
      20200          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2      C10HO3          HO           O          O2
      20300          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2      C10HO3          HO           O          O2
      20400          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2      C10HO3          HO           O          O2
      20500          10           5           4           1           1           2           2
#  Timestep    No_Moles    No_Specs          H2      C10HO3          HO           O          O2
