30
 Atoms. Timestep: 0
2 11.2431 13.2299 9.89295
2 12.3729 13.9272 10.0717
2 13.4111 14.6482 10.3511
2 14.4146 15.4391 10.4789
3 10.0809 15.6064 15.6569
3 11.006 15.034 15.0616
3 19.8712 9.93667 17.328
3 17.1431 19.3032 13.3085
3 16.0767 18.7777 12.6438
3 23.3671 9.60896 15.8634
3 20.9044 23.9827 14.3505
3 22.5119 16.3522 20.0319
3 1.58069 21.5675 13.1784
3 2.25682 21.7078 12.1541
30
 Atoms. Timestep: 900
1 19.564 2.21954 21.6096
1 19.6481 1.63317 21.0872
1 1.16135 0.279539 2.31596
1 0.422544 24.9293 2.15391
1 7.47462 1.4206 1.78343
1 8.18241 1.81478 1.79442
1 10.8613 9.72151 0.111745
1 10.6025 9.82896 24.3094
1 11.0733 3.93802 10.5761
1 11.9009 4.12193 10.8818
2 4.922 8.77738 9.62757
2 5.72922 9.74424 9.8232
2 6.56969 10.8385 9.83789
2 7.65543 11.3653 9.87683
2 8.84089 12.2454 9.8695
2 10.2177 12.7061 10.0133
2 11.3243 13.3299 9.85399
2 12.5556 13.8942 9.88365
2 13.4177 14.7416 10.1978
2 14.3956 15.5406 10.6646
3 9.74198 15.4954 15.6069
3 10.8738 15.148 15.1278
3 20.0003 9.64231 17.4433
3 16.9404 19.3894 13.2766
3 16.0858 18.904 12.474
3 23.5377 9.21987 15.8962
3 20.9073 24.2813 14.3224
3 22.5269 16.2526 20.2806
3 1.64507 21.5862 12.9731
3 2.52806 21.9163 12.1308
30
 Atoms. Timestep: 1000
1 19.2831 2.23142 21.3993
1 19.3101 1.64816 20.8849
1 1.00705 0.154166 2.33384
1 0.226176 24.8208 2.26917
1 7.68146 1.26846 1.74944
1 8.2358 1.79651 1.87676
1 11.233 10.1674 24.9087
1 10.5675 9.92934 24.3613
1 11.2866 3.82069 10.933
1 11.9214 4.13636 11.3246
2 4.93425 8.82579 9.71606
2 5.81894 9.79743 9.65101
2 6.74299 10.7671 9.79862
2 7.641 11.5743 9.89239
2 8.92054 11.9949 10.0056
2 10.0449 12.5897 9.88218
2 11.2028 13.311 9.81641
2 12.3656 13.9877 10.1269
2 13.4932 14.7931 10.1932
2 14.4906 15.5929 10.593
3 9.47562 15.3806 15.5431
3 10.7229 15.264 15.202
3 20.1118 9.38107 17.5468
3 16.7543 19.457 13.2247
3 16.0978 19.02 12.3438
3 23.6919 8.8743 15.9239
3 20.9093 24.5479 14.2986
3 22.5404 16.1649 20.5014
3 1.72521 21.6087 12.7626
3 2.74673 22.0948 12.1381
30
 Atoms. Timestep: 1100
1 19.0299 2.27296 21.2302
1 19.0055 1.63061 20.6665
1 0.846343 0.0331674 2.34901
1 0.0587574 24.7275 2.37616
1 7.86563 1.11795 1.71347
1 8.29844 1.7943 1.95586
1 11.4128 10.5163 24.5929
1 10.6928 10.0758 24.5402
1 11.4773 3.72518 11.267
1 11.9448 4.1359 11.7154
2 4.82854 8.84798 9.66101
2 5.72508 9.77964 9.72033
2 6.84299 10.6651 9.80268
2 7.78884 11.386 9.77723
2 9.01571 12.0924 9.82549
2 10.0535 12.7054 9.91267
2 11.3385 13.3563 10.0928
2 12.1393 14.1494 10.184
2 13.3948 14.8769 10.4565
2 14.5528 15.4281 10.2756
3 9.27898 15.2713 15.4715
3 10.5424 15.3727 15.2794
3 20.2099 9.14433 17.6415
3 16.5974 19.5219 13.1814
3 16.0949 19.1166 12.2193
3 23.8342 8.56097 15.9477
3 20.9108 24.7908 14.2784
3 22.5527 16.0859 20.7015
3 1.83302 21.6445 12.5482
3 2.91048 22.2406 12.1684
30
 Atoms. Timestep: 1200
1 18.8009 2.30114 21.0579
1 18.7249 1.6256 20.4653
1 0.683962 24.9177 2.36482
1 24.9104 24.6437 2.4739
1 8.06503 0.995471 1.68123
1 8.3351 1.7774 2.02728
1 11.4545 10.7543 24.3154
1 10.9322 10.2945 24.6914
1 11.638 3.61967 11.5575
1 11.9829 4.15094 12.0933
2 4.64092 8.98088 9.64703
2 5.7302 9.61201 9.76209
2 6.81136 10.55 9.6508
2 7.83519 11.119 9.75511
2 9.06165 12.0499 9.74954
2 9.98789 12.8212 9.95967
2 11.09 13.5632 10.367
2 12.3047 14.2167 10.2686
2 13.5896 14.8848 10.3107
2 14.6524 15.5459 10.2763
3 9.13042 15.1756 15.4013
3 10.3441 15.4663 15.3512
3 20.2978 8.92595 17.73
3 16.4611 19.5883 13.1612
3 16.0816 19.1944 12.0823
3 23.9678 8.27182 15.9685
3 20.9116 0.0161375 14.261
3 22.5642 16.0135 20.8861
3 1.96521 21.6957 12.3414
3 3.0294 22.3563 12.2052
30
 Atoms. Timestep: 1300
1 18.5847 2.2918 20.8558
1 18.4711 1.65943 20.299
1 0.534001 24.8113 2.37963
1 24.7632 24.5623 2.56596
1 8.27831 0.940373 1.67608
1 8.34911 1.70314 2.06864
1 11.4403 10.9282 24.0997
1 11.2096 10.548 24.7889
1 11.806 3.5232 11.8352
1 12.0021 4.16124 12.4416
2 4.7482 9.17644 9.74218
